Dchg/Chg Cycle,BC,Vact,Discharge Current,Charge Current,Chg/Dchg Cycle,Ah,Tavg
1,35,3.17,20.064,0.02,10,3.01624,34.57716066
1,35,3.17,20.027,0.02,10,3.027366111,34.57583197
1,35,3.17,20.014,0.01,10,3.038485,34.57495537
1,35,3.17,20.055,0.01,10,3.049626667,34.57905656
1,35,3.17,20.048,0.02,10,3.060764444,34.58111229
1,35,3.17,20.027,0.02,10,3.071890556,34.58362274
1,35,3.17,20.094,0.02,10,3.083053889,34.5799881
1,35,3.17,20.009,0.02,10,3.099728056,34.58346138
1,35,3.17,20.002,0.01,10,3.110840278,34.58675346
1,35,3.17,20.002,0.01,10,3.1219525,34.5871212
1,35,3.17,20.05,0.01,10,3.133091389,34.58728217
1,35,3.17,20.069,0.02,10,3.149815556,34.57959709
1,35,3.17,20.009,0.02,10,3.160931667,34.5829464
1,35,3.17,20.08,0.01,10,3.172087222,34.58399734
1,35,3.17,19.97,0.01,10,3.183181667,34.58660698
1,35,3.17,20.032,0.01,10,3.194310556,34.59166259
1,35,3.17,20.057,0.01,10,3.205453333,34.59450605
1,35,3.17,20.064,0.02,10,3.2166,34.59263724
1,35,3.17,19.945,0.02,10,3.227680556,34.59670791
1,35,3.17,20.066,0.01,10,3.238828333,34.5928463
1,35,3.17,20.02,0.02,10,3.249950556,34.59137764
1,35,3.17,19.993,0.01,10,3.261057778,34.59110107
1,35,3.17,20.048,0.02,10,3.277764444,34.59274673
1,35,3.17,19.991,0.01,10,3.288870556,34.59090463
1,35,3.17,20.025,0.01,10,3.299995556,34.59925844
1,35,3.17,19.968,0.02,10,3.311088889,34.59564056
1,35,3.17,20.025,0.02,10,3.322213889,34.59312286
1,35,3.17,19.954,0.02,10,3.333299444,34.59768791
1,35,3.17,20.039,0.01,10,3.344432222,34.5942173
1,35,3.17,19.961,0.02,10,3.355521667,34.59763528
1,35,3.17,20.053,0.01,10,3.366662222,34.59841232
1,35,3.17,20.027,0.01,10,3.377788333,34.5977379
1,35,3.17,20,0.01,10,3.394455,34.59914744
1,35,3.17,20.066,0.01,10,3.405602778,34.59687346
1,35,3.17,19.988,0.01,10,3.416707222,34.60205001
1,35,3.17,20.039,0.02,10,3.42784,34.59905508
1,35,3.17,19.986,0.02,10,3.438943333,34.59757844
1,35,3.17,20.041,0.01,10,3.450077222,34.59733887
1,35,3.17,20.025,0.02,10,3.461202222,34.60184897
1,35,3.17,20.039,0.02,10,3.472335,34.60465202
